employee_id,full_name,specialty,base_pay,wrvu_incentive,quality_payments,admin_payments,conversion_factor,annual_wrvus
EMP001,Jason Johnson,Dermatology,302024,72872,28452,4598,50,5244
EMP002,Amy Boyle,Dermatology,293324,48322,12717,8104,50,5874
EMP003,Yesenia Mcguire,Internal Medicine,254615,78844,17291,15392,47.25,5735
EMP004,Nicholas James,General Surgery,336922,79049,15863,18434,70,7090
EMP005,Michelle Davis,Anesthesiology,354330,107026,26441,3479,60,7618
EMP006,Jeffrey Guerra,Anesthesiology,332111,69164,16396,9197,60,6209
EMP007,Allison Potter,Cardiology,316550,80149,27497,130,65.8,6842
EMP008,Robin Eaton,Pediatrics,233552,133810,10954,4073,42.75,4942
EMP009,Jonathan Castaneda,General Surgery,347337,59024,23797,18646,70,8409
EMP010,Natasha House,Orthopedic Surgery,400252,91853,28335,12964,75.5,8938
EMP011,Jeremy Torres,Neurology,287041,45428,22526,3083,55,6274
EMP012,Robert Allen,Emergency Medicine,283425,122719,19294,7563,48.5,5831
EMP013,Paul Daniels,Pediatrics,226437,104397,26739,5536,42.75,4024
EMP014,Megan Bryant,Anesthesiology,356456,97540,14653,1972,60,6525
EMP015,Deborah Gibson,Cardiology,319880,106721,19939,281,65.8,6706
EMP016,Terry Smith,Pediatrics,217302,59887,15069,9923,42.75,4152
EMP017,Barbara Meyer,General Surgery,344226,138755,10988,16688,70,7587
EMP018,Veronica Webb,Cardiology,338433,148686,11679,2477,65.8,7357
EMP019,Amanda Smith,Neurology,270504,46160,10062,14054,55,6111
EMP020,William Watts,Dermatology,295245,53025,15723,13683,50,5914
EMP021,David Brady,Cardiology,328559,41468,23653,17787,65.8,6415
EMP022,Cheryl Little,Cardiology,399608,145295,26972,14859,65.8,7688
EMP023,Jessica Haynes,Dermatology,281175,94822,27800,16939,50,5548
EMP024,Vicki Boyle,Cardiology,351216,66302,29598,1709,65.8,7825
EMP025,Natalie Leon,Cardiology,369885,102821,17386,16991,65.8,7244
EMP026,Rebecca Bird,Cardiology,331722,73831,24712,12052,65.8,7686
EMP027,Lacey Zavala,Family Medicine,245113,54778,28676,10842,45.35,4432
EMP028,Gabriel Cooper,General Surgery,362767,126073,11460,10204,70,7934
EMP029,Melanie Williams,Emergency Medicine,279698,95243,23306,6156,48.5,6608
EMP030,Sonia Burke,Family Medicine,230225,44995,26808,4575,45.35,4990
EMP031,Amber Weber,Cardiology,319962,102478,10771,1577,65.8,7834
EMP032,Donna Ramsey,Orthopedic Surgery,360911,126084,26194,10743,75.5,8676
EMP033,Jane Berry,Neurology,267593,104840,16075,7715,55,5208
EMP034,Timothy Cook,Pediatrics,235911,73017,23586,13714,42.75,4543
EMP035,Denise Holt,General Surgery,354105,93316,25154,9636,70,8899
EMP036,Catherine Johnson,Neurology,288520,45119,10984,16222,55,5326
EMP037,Sarah Miller,Dermatology,302533,90757,19569,17873,50,5100
EMP038,Kimberly Clayton,Family Medicine,225831,40707,20580,6854,45.35,5349
EMP039,Brittany Winters,Dermatology,299074,86355,27386,18814,50,5921
EMP040,Noah Roberts,Cardiology,338747,119529,22903,9946,65.8,6033
EMP041,Carol Vaughn,Anesthesiology,348039,73196,29247,17670,60,6909
EMP042,Julia Stanton,Internal Medicine,268120,103738,23208,13561,47.25,5264
EMP043,Michelle Simpson,Internal Medicine,275145,83708,14615,4727,47.25,5146
EMP044,Elizabeth Morris,Anesthesiology,357316,52951,29643,3155,60,6176
EMP045,Christopher Mccarthy,Family Medicine,223442,50054,16605,7326,45.35,4091
EMP046,Natalie Lloyd,General Surgery,353855,41680,27290,1418,70,7184
EMP047,Elizabeth Richards,Dermatology,305654,134590,10035,231,50,5989
EMP048,David Soto,Dermatology,282947,124376,29474,2848,50,5733
EMP049,Katie Steele,Dermatology,300471,75464,13255,9374,50,5188
EMP050,David Gardner,Anesthesiology,318448,60857,17614,6554,60,6997
